PuzzleId,FEN,Moves,Rating,Themes
cIxQo,4r2k/1Q4pp/p3P3/5p2/P1B2b2/1P2pP2/3r2Rq/6RK w - - 0 37,g2h2 d2h2,613,master mate mateIn1 middlegame oneMove operaMate
410ih,r4rk1/2R3Rp/p3p3/q3Pn2/1p4Q1/8/PP3PPP/5K2 b - - 0 23,f5g7 g4g7,634,endgame mate mateIn1 oneMove
u5IDv,5rk1/ppq2p2/2pr1n1p/2b1pN2/4P3/1PP3QP/1P3PP1/R3R1K1 b - - 1 22,g8h7 g3g7,634,mate mateIn1 middlegame oneMove
9lpqz,2k5/1pp3R1/p5p1/2N3P1/1P3n2/r2p4/5K2/8 b - - 1 36,d3d2 g7g8,637,endgame master mate mateIn1 oneMove
wE67H,6k1/5p2/p3p3/3pP3/8/4q2r/5bP1/3Q1R1K w - - 0 36,g2h3 e3h3,640,endgame mate mateIn1 oneMove
BC30g,r2Q2k1/ppp3pp/2b1p2q/8/2P3PP/2N1n3/PP6/K2R1R2 b - - 2 23,a8d8 d1d8 c6e8 d8e8,647,kingsideAttack mate mateIn2 middlegame short
1Cc3N,r4rk1/1pq2ppp/p1n1b3/3pN3/P2Q2n1/2N5/1PP2PPP/R3RBK1 w - - 4 17,e5c6 c7h2,648,kingsideAttack mate mateIn1 middlegame oneMove
46rlA,5k2/p4pp1/1p1q3p/1Pn5/P1pb1P2/5QP1/2Pr3P/N3R2K b - - 2 31,d6d7 f3a8 d7c8 a8c8,654,mate mateIn2 middlegame short
wIsYY,1k4r1/p1p5/Pp1p1N2/1r5p/8/7P/5PP1/R5K1 b - - 1 28,g8f8 f6d7 b8c8 d7f8,655,advantage endgame fork short
pqu7C,6k1/p1p2pp1/8/4n2p/P3B1b1/2rP2P1/5P1P/1R4K1 b - - 2 23,e5d3 b1b8 g4c8 b8c8,657,endgame mate mateIn2 pillsburysMate short
cXlzb,r3k1r1/pp2bp1p/2p1pp2/1P6/P4qb1/3P1BP1/2P2P1P/R2Q1RK1 w q - 1 17,g3f4 g4f3,665,discoveredAttack discoveredCheck kingsideAttack mate mateIn1 middlegame oneMove pillsburysMate
EvzPi,4r1k1/pbp5/3b1B2/6p1/1P2P3/P1Q2P1q/2P4P/R3R2K w - - 0 26,e1g1 h3h2,667,mate mateIn1 middlegame oneMove
34gd6,r4rk1/pppqb1p1/2bp1n1p/5pN1/3Q3P/1P2P3/PBP1NPP1/2KR3R b - - 0 13,f6g4 d4g7,668,kingsideAttack mate mateIn1 middlegame oneMove
u3kRw,3r3k/4Q3/p6p/8/1p2P3/1B6/PPP2r2/1Kq5 w - - 0 42,b1c1 f2f1,671,endgame master mate mateIn1 oneMove
obKyC,2r1kb1r/2q2pp1/p1p1p1p1/3p2B1/3P2n1/2NQ3P/PPP1RP2/R5K1 w k - 0 17,h3g4 c7h2 g1f1 h2h1,672,kingsideAttack mate mateIn2 middlegame short
IOBU4,1R6/8/8/8/1P1K4/3PN1pk/1r6/2r5 b - - 3 61,c1b1 b8h8,675,anastasiaMate endgame mate mateIn1 oneMove
bhvfQ,8/7k/p5p1/6P1/1P4qP/P5R1/6K1/8 b - - 4 60,g4h4 g3h3 h4h3 g2h3,682,crushing endgame pin queenRookEndgame short
ajNbl,1k1r1b1r/pp2qQpp/2pN4/3bP3/BP1p4/8/P1P3PP/R4RK1 b - - 5 18,e7g5 f7b7,686,mate mateIn1 middlegame oneMove queensideAttack
Esgzs,r3k2r/ppq1b1p1/4p1p1/2npPp2/3B4/2P5/PPQN1PPP/4RRK1 w kq f6 0 18,e5f6 c7h2,688,kingsideAttack mate mateIn1 middlegame oneMove
Lu3rx,r1b2rk1/p2p2pp/2pQpp2/4P3/N7/5N1n/PPP3PP/R3R1qK w - - 8 18,f3g1 h3f2,693,mate mateIn1 middlegame oneMove smotheredMate
eh3NH,8/1N6/8/PKP5/4k3/5p2/8/4b3 w - - 0 54,a5a6 f3f2 b5c6 f2f1q,697,advancedPawn crushing endgame master promotion short
gceM8,5rk1/1p4pp/8/5r2/1PPP4/P3R3/3p2PP/3R2K1 w - - 1 37,e3e2 f5f1 d1f1 f8f1 g1f1 d2d1q,697,advancedPawn advantage attraction endgame long promotion rookEndgame
ezwac,5rk1/pQ4bp/4Nnp1/4n3/3q4/7P/P1R2PPK/8 b - - 0 28,d4b6 b7g7,698,mate mateIn1 middlegame oneMove
trKCE,r1b2r1k/p4pp1/2p1p3/1p1BP1N1/8/4P1P1/qPQ2P1P/2KR3R b - - 0 17,c6d5 c2h7,700,mate mateIn1 middlegame oneMove
vkebV,8/5Rpp/R2bB2k/5P2/7P/6PK/Pr4b1/8 w - - 1 37,h3g4 b2b4 e6c4 b4c4,703,endgame mate mateIn2 pillsburysMate short
woUY3,8/6pp/1n6/1BBnp3/p3k3/P5P1/5P1P/5K2 w - - 6 36,f1e2 d5c3 e2d2 c3b5,708,crushing endgame fork master short
jWYG0,r6k/2pR2pp/p3P2q/1p3p2/8/P5QP/1P4P1/7K b - - 0 34,h6e6 g3g7,711,endgame mate mateIn1 oneMove
5TQNN,r1b3k1/pp1pq1pQ/2p1p3/2PnPrN1/3Pp3/8/PP3PPP/3R1RK1 b - - 3 19,g8f8 h7h8,712,master mate mateIn1 middlegame oneMove
0Bv81,8/7p/5pk1/1pp3p1/8/7Q/1P3PPP/r2rN1K1 w - - 2 35,g2g4 d1e1 g1g2 e1g1,714,crushing endgame hangingPiece master short
oZ4o4,Q1bq4/4kppp/1p2p3/8/P7/4PN2/5PPP/2R3K1 w - - 2 23,c1c8 d8d1 f3e1 d1e1,715,endgame mate mateIn2 short
hStdG,8/1b1N1p2/6p1/4k2p/4P2P/5K2/6P1/8 b - - 1 42,e5e6 d7c5 e6f6 c5b7,716,crushing endgame fork short
cq8NX,3r1k1r/p3nppp/1p2b3/2pp2B1/N3B3/4P1P1/PP1R1P1P/R5K1 b - - 0 18,d5e4 d2d8,717,hangingPiece mate mateIn1 middlegame oneMove
lerfU,6k1/1Q3ppp/4b3/8/2r1pq2/P7/1PP3PP/1K1R4 b - - 1 24,c4c8 b7c8 e6c8 d1d8,717,backRankMate endgame mate mateIn2 sacrifice short
m3uK2,r5k1/ppp2rpp/3p4/1q6/4PB2/6P1/PPP1NbB1/RN1Q3K w - - 0 19,b1c3 b5h5 g2h3 h5h3,717,kingsideAttack mate mateIn2 middlegame short
0iDgX,4rrk1/p1p4R/2q2p2/1B1p2p1/2nP1P2/P1P1P1P1/2Q2P2/2K5 b - - 7 26,c6b5 c2g6,719,endgame mate mateIn1 oneMove
DVdoZ,8/ppp2k2/5p2/8/3P2p1/P1PN2n1/1P1B2Kp/8 w - - 0 32,g2h2 g3f1 h2g2 f1d2,720,advantage endgame fork master short
bMnCV,4b3/5k1p/4r1p1/3Qp3/8/1P4P1/P3PPKP/8 w - - 5 35,a2a4 e8c6 e2e4 c6d5,720,crushing endgame pin short
xoEPp,5q1k/4R1p1/pb2Q2p/1p6/2p2B2/6P1/PP3P1P/6K1 w - - 6 45,f4e5 f8f2 g1h1 f2f1,720,endgame mate mateIn2 short
ekR8l,4r2k/6pp/8/1P6/4q3/1Q6/5PPP/1R4K1 w - - 1 33,b5b6 e4e1 b1e1 e8e1,722,backRankMate endgame mate mateIn2 sacrifice short
WCfYK,3r2k1/p4ppp/5n2/P1p5/2P5/3R1QP1/5PKP/q7 b - - 1 22,d8d3 f3a8 d3d8 a8d8 f6e8 d8e8,723,endgame long mate mateIn3
C4J9j,2Q3k1/p3bppp/3pq3/3Nn3/4rB2/6PP/P4P1K/5R2 b - - 1 25,e6c8 d5e7 g8h8 e7c8,724,advantage fork hangingPiece master middlegame short
K7MJy,r5k1/p1q1pp1p/6p1/8/1Pp5/B1P1Qb2/P5rP/2R1R2K w - - 0 25,e3f3 c7h2,724,mate mateIn1 middlegame oneMove
P18sn,8/4q3/kpbp1p2/pNn1p1p1/P1P1P1Pp/2P2P1P/2B3K1/3Q4 b - - 1 40,e7e6 b5c7 a6b7 c7e6,724,crushing endgame fork short
k3FdL,bk6/6R1/BKp5/1p6/3r3p/P4P2/1Q1r2P1/8 b - - 10 36,d2b2 g7g8 d4d8 g8d8,724,endgame mate mateIn2 short
w4Kcs,5k2/5P2/8/p2K3B/1p6/2p5/1PP5/8 w - - 0 46,b2b3 a5a4 b3a4 b4b3 c2b3 c3c2 h5g6 c2c1q,724,advancedPawn bishopEndgame crushing endgame promotion sacrifice veryLong
mbrRy,3r3k/p5pp/5p2/3P2n1/8/2Q3P1/P4P1P/6K1 w - - 1 36,c3d2 g5f3 g1f1 f3d2,725,crushing endgame fork master short
lzuh4,1r3r1k/p3N2p/5pp1/q7/2b5/1B6/PQ3PPP/3RR1K1 w - - 6 23,d1d7 a5e1,726,hangingPiece master mate mateIn1 middlegame oneMove
aPtao,4r3/p5pp/k4p2/2p5/3pN3/1P1K1BP1/5P1P/8 b - - 0 32,a6b5 e4d6 b5b4 d6e8,727,crushing endgame fork short
oyXQx,8/5pk1/4p1p1/4P3/1ppQpP2/r1P3K1/6P1/8 w - - 0 39,d4c4 a3c3 c4c3 b4c3,727,crushing endgame fork queenRookEndgame short
zYrGM,8/p2k2p1/1p2p3/2R1Pn2/4KPP1/P7/P7/8 b - - 0 35,b6c5 g4f5 e6f5 e4f5,727,crushing endgame master masterVsMaster short
UHjW9,4rrk1/ppp2pp1/3n1q1p/3pR3/3P4/2PQ1N1b/PPB2PP1/R5K1 b - - 1 20,h3g4 d3h7,728,mate mateIn1 middlegame oneMove
vJmGA,8/8/6K1/p7/8/1Q6/1q4P1/1k6 w - - 4 60,b3d3 b2c2 d3c2 b1c2 g2g4 a5a4 g6f7 a4a3 g4g5 a3a2 g5g6 a2a1q,728,advancedPawn crushing defensiveMove endgame promotion queenEndgame quietMove veryLong
0TwIx,2r3k1/6pp/p3R3/8/2pB1P2/6P1/P2n3P/6K1 w - - 1 30,e6e7 d2f3 g1f1 f3d4,729,crushing endgame fork short
LTMPw,2rq1rk1/1b2nppp/p7/2Rp4/8/1PQ1P3/PB2BPPP/5RK1 b - - 2 18,c8c5 c3g7,730,kingsideAttack mate mateIn1 middlegame oneMove
RyiLL,1r4k1/2qR1ppp/p4b2/4p3/Q3P3/4BP2/Pr4PP/3R2K1 b - - 3 25,c7c3 d7d8 b8d8 d1d8 f6d8 a4e8,735,kingsideAttack long mate mateIn3 middlegame sacrifice
c8pOa,r2qkbnr/ppp2ppp/3p4/3Nn3/2BPPQ2/6P1/PPP4P/R1B2RK1 b kq - 0 11,e5c4 f4f7,735,attackingF2F7 mate mateIn1 oneMove opening
8JnT5,8/8/6R1/8/2k1p2P/4Bb2/1r3K2/8 w - - 3 52,f2g3 b2g2 g3f4 g2g6,736,crushing endgame short skewer
PIf9b,5n2/8/2b1pk2/2Np3p/3P1KpP/4B3/5PP1/8 w - - 2 42,g2g3 f8g6,738,endgame mate mateIn1 oneMove
kKNWh,r4b1r/p3q1pk/4p2p/1pp1P3/3nNn2/N1PP4/PP3QPP/R4RK1 w - - 0 18,f2f4 d4e2 g1h1 e2f4,738,advantage fork middlegame short
ODVDu,Q7/5ppk/p6p/8/1q6/4P3/3r1PPP/3R2K1 w - - 2 31,d1d2 b4b1 d2d1 b1d1,739,backRankMate endgame mate mateIn2 short
CUzmC,2r3k1/p4p2/b1P2p1p/N3nP2/3N2P1/P6P/5K2/R7 w - - 3 33,a1c1 e5d3 f2g3 d3c1,740,advantage endgame fork short
GsK2x,8/8/8/2p2P2/1p4PR/1PkP4/2P2r1P/2K5 w - - 7 49,g4g5 f2f1,740,endgame mate mateIn1 oneMove rookEndgame
oA5sr,2kr3r/ppp2ppp/3b1n2/4q3/1P6/P3NB1P/2P1QPP1/R4RK1 w - - 3 17,e3c4 e5h2,740,mate mateIn1 middlegame oneMove
xmMY6,q1r2rk1/5p2/pR2p1pB/2Ppn3/P5P1/3Q4/5P1P/2R3K1 w - - 0 32,d3d4 e5f3 g1f1 f3d4,740,crushing fork middlegame short
4khik,r1bqkR2/p2pp3/n1p1P1p1/2p5/2P5/P1Q5/1P4PP/RN4K1 b - - 0 18,e8f8 c3h8,741,mate mateIn1 middlegame oneMove
0TCrY,8/p7/8/P2p1p1p/kPp1b2K/2P4P/8/3R4 w - - 3 39,h4h5 e4f3 h5h4 f3d1,742,crushing endgame fork short
EVXPc,r4rk1/pp3ppp/2p1p3/2P1n2q/1PR3n1/P2P1NP1/4PPBP/3Q1RK1 w - - 7 20,f3e5 h5h2,743,kingsideAttack mate mateIn1 middlegame oneMove
h80eg,r2qkb1r/pp1np1pp/2p2n2/3p2B1/3P2b1/2PB1N2/PP3PPP/RN1QK2R b KQkq - 3 8,h7h6 d3g6,743,doubleBishopMate mate mateIn1 oneMove opening
hEExJ,1k1r4/pp1n1ppp/5q2/Q1p5/8/P1R5/1PP3PP/1K6 b - - 3 27,f6a6 a5d8,743,endgame hangingPiece mate mateIn1 oneMove queensideAttack
lBMIy,2kr3r/pp1n1pp1/2p1p2p/8/P1B1PB2/2bP4/6PP/1R3R1K b - - 1 22,b7b6 c4a6,744,bodenMate mate mateIn1 middlegame oneMove
3xU8T,r1b2r1k/5ppp/p2Rpb2/1p5q/8/1B2B1Q1/PPP2PPP/3R2K1 w - - 5 20,e3d4 h5d1,746,backRankMate hangingPiece mate mateIn1 middlegame oneMove
YABM0,6k1/pp2r1Rq/4p2p/3pB1pQ/3Pp3/2P5/PP4PP/6K1 b - - 0 30,e7g7 h5e8,746,endgame mate mateIn1 oneMove
IF6dS,r5k1/1p5p/p1b2pp1/2Bqp3/7Q/2P5/PP3PPP/R3R1K1 w - - 3 19,e1e2 d5g2,747,kingsideAttack master masterVsMaster mate mateIn1 middlegame oneMove
